date,product_name,quantity,price
2022-05-17,Widget B,64,3.01
2020-12-10,Widget B,18,2.58
2021-02-13,Widget C,37,1.25
2020-04-09,Widget A,5,1.82
2020-04-10,Widget C,91,1.01
2022-09-25,Widget C,99,1.37
2022-04-22,Widget A,21,1.67
2020-06-04,Widget B,92,3.33
2021-05-24,Widget A,29,1.6
2020-11-27,Widget C,72,1.26
2022-01-01,Widget B,74,2.64
2020-03-27,Widget B,15,3.11
2022-03-19,Widget A,27,2.37
2020-10-29,Widget C,88,1.59
2020-11-29,Widget C,47,1.81
2022-07-10,Widget C,9,1.46
2021-07-07,Widget A,85,2.46
2022-09-20,Widget A,39,2.26
2021-05-03,Widget B,20,2.93
2020-01-31,Widget C,3,1.82
2020-09-20,Widget A,37,2.3
2020-05-11,Widget A,2,2.47
2022-12-04,Widget A,51,1.57
2021-12-16,Widget B,7,3.48
2022-05-04,Widget C,11,1.07
2021-08-16,Widget B,90,2.86
2022-10-28,Widget C,2,1.21
2020-09-26,Widget C,34,2.0
2021-04-15,Widget C,9,1.83
2020-01-28,Widget C,87,1.08
2022-12-23,Widget C,63,1.02
2022-03-03,Widget A,46,1.98
2022-02-09,Widget B,84,2.9
2020-11-17,Widget A,91,2.12
2022-03-13,Widget B,49,2.67
2020-07-24,Widget A,91,1.97
2022-05-29,Widget A,98,2.09
2021-07-06,Widget B,34,2.66
2021-09-20,Widget C,75,1.63
2022-09-12,Widget C,42,1.45
2022-11-17,Widget C,3,1.18
2020-06-15,Widget B,75,3.14
2021-05-27,Widget C,37,1.73
2020-10-29,Widget B,6,3.01
2022-07-04,Widget A,64,2.3
2022-04-06,Widget A,82,2.24
2022-09-19,Widget B,13,2.91
2021-04-07,Widget B,99,3.17
2021-12-07,Widget A,30,2.0
2022-12-04,Widget C,37,1.97
2022-06-30,Widget A,75,2.25
2020-09-20,Widget C,8,1.68
2021-06-20,Widget C,50,1.15
2021-09-24,Widget C,17,1.72
2020-01-04,Widget B,96,2.69
2021-09-16,Widget B,32,3.42
2022-10-20,Widget C,22,1.5
2020-06-07,Widget B,89,3.34
2020-12-26,Widget B,15,2.97
2021-07-04,Widget C,4,1.23
2021-05-20,Widget B,62,3.24
2022-10-30,Widget A,33,2.4
2022-03-14,Widget B,97,2.96
2020-11-01,Widget C,81,1.68
2022-01-04,Widget B,6,3.19
2022-05-31,Widget C,54,1.78
2020-07-28,Widget B,77,3.13
2021-09-11,Widget B,75,3.46
2020-11-20,Widget B,22,3.42
2021-01-10,Widget C,99,1.71
2022-01-29,Widget C,65,1.81
2022-10-07,Widget A,91,2.05
2022-05-08,Widget A,37,1.92
2022-05-30,Widget C,42,1.53
2022-07-26,Widget B,12,2.59
2021-05-18,Widget B,1,2.72
2021-01-28,Widget C,23,1.8
2022-11-05,Widget C,90,1.04
2021-05-18,Widget B,42,2.88
2020-04-09,Widget C,67,1.19
2021-05-04,Widget B,27,3.44
2022-06-30,Widget A,5,1.95
2021-11-23,Widget A,9,1.89
2020-12-15,Widget A,76,2.09
2021-02-20,Widget B,14,2.6
2021-10-18,Widget B,58,2.8
2022-01-30,Widget B,97,2.77
2020-05-24,Widget C,68,1.38
2022-02-26,Widget B,14,2.52
2021-11-03,Widget A,14,1.56
2022-03-19,Widget B,14,2.66
2020-08-11,Widget C,53,1.29
2020-05-22,Widget C,89,1.75
2021-02-24,Widget A,12,2.49
2021-06-28,Widget B,88,2.95
2020-06-16,Widget A,89,2.29
2021-01-26,Widget A,11,2.21
2020-10-07,Widget C,3,1.93
2021-12-12,Widget A,65,1.72
2020-12-23,Widget A,76,2.42
2022-07-12,Widget C,54,1.63
2021-03-03,Widget B,8,3.11
2020-04-25,Widget B,98,3.28
2020-06-28,Widget A,76,2.47
2021-07-09,Widget C,24,1.05
2022-06-28,Widget C,97,1.76
2020-06-28,Widget B,43,3.39
2022-03-02,Widget B,27,2.5
2022-01-01,Widget A,73,1.66
2022-04-20,Widget B,43,2.98
2020-05-21,Widget A,71,2.12
2020-09-16,Widget C,44,1.01
2021-04-20,Widget B,84,3.25
2022-08-23,Widget A,58,2.04
2020-12-29,Widget C,59,1.82
2021-10-19,Widget A,56,1.61
2020-09-24,Widget A,3,2.23
2022-11-30,Widget A,19,2.17
2021-05-12,Widget B,92,2.69
2022-07-05,Widget A,35,2.31
2020-10-11,Widget C,49,1.67
2020-03-09,Widget A,62,2.04
2020-05-07,Widget C,98,1.82
2020-11-11,Widget C,44,1.06
2022-12-12,Widget C,7,1.5
2020-02-21,Widget A,40,1.89
2021-03-03,Widget C,69,1.43
2020-09-22,Widget A,54,2.37
2022-06-17,Widget C,40,1.8
2022-11-05,Widget A,8,2.34
2020-11-21,Widget C,67,1.91
2020-11-07,Widget A,53,1.64
2022-09-08,Widget A,9,2.3
2021-09-26,Widget B,3,2.66
2020-11-25,Widget C,36,1.88
2022-02-15,Widget C,8,1.68
2022-10-13,Widget A,27,1.54
2020-11-09,Widget C,62,1.64
2022-11-24,Widget C,46,1.96
2021-02-10,Widget C,61,1.64
2020-06-02,Widget C,82,1.13
2022-01-15,Widget C,70,1.54
2022-07-03,Widget B,23,3.38
2021-12-11,Widget A,87,1.87
2021-11-21,Widget A,85,1.73
2021-09-19,Widget C,34,1.91
2022-01-26,Widget A,92,2.01
2021-12-24,Widget A,71,2.47
2022-06-20,Widget B,66,3.03
2022-10-03,Widget C,89,1.38
2022-01-28,Widget C,20,1.59
2022-03-17,Widget A,65,1.78
2021-10-22,Widget B,11,3.01
2020-04-02,Widget C,6,1.32
2020-03-17,Widget A,50,1.87
2020-08-06,Widget A,22,2.42
2022-02-09,Widget C,61,1.73
2020-09-03,Widget A,47,1.9
2022-01-30,Widget C,17,1.8
2022-06-23,Widget C,81,1.11
2022-06-14,Widget A,30,2.01
2020-08-07,Widget A,36,1.86
2020-09-04,Widget C,42,1.84
2020-05-14,Widget A,14,2.47
2020-01-19,Widget A,30,1.86
2020-03-10,Widget A,63,2.04
2020-11-30,Widget A,46,2.28
2020-08-14,Widget C,93,1.76
2020-01-08,Widget C,3,1.39
2021-07-15,Widget B,7,3.01
2020-12-19,Widget A,97,2.25
2022-06-18,Widget C,87,1.2
2020-08-25,Widget A,12,2.14
2021-10-06,Widget B,10,2.58
2020-11-10,Widget A,55,2.15
2021-11-27,Widget A,2,2.49
2022-10-26,Widget A,69,1.92
2020-08-16,Widget A,75,1.57
2020-02-18,Widget C,20,1.33
2022-10-19,Widget A,48,1.69
2020-12-07,Widget C,69,1.25
2021-12-28,Widget B,24,3.28
2020-02-23,Widget C,51,1.28
2020-10-01,Widget A,48,1.54
2020-01-06,Widget A,90,2.03
2021-08-08,Widget C,89,1.7
2021-06-10,Widget C,84,1.54
2020-08-17,Widget B,16,2.53
2021-07-06,Widget B,83,3.43
2021-06-02,Widget C,61,1.84
2022-04-29,Widget B,43,2.85
2021-09-21,Widget C,42,1.81
2022-01-24,Widget A,61,1.77
2022-05-10,Widget C,12,1.38
2022-11-19,Widget B,87,3.19
2021-12-05,Widget B,40,3.24
2022-01-01,Widget B,92,3.31
2020-04-22,Widget C,80,1.44
2021-04-18,Widget B,50,3.39
2021-02-17,Widget B,53,2.67
2021-01-20,Widget B,50,2.8
2022-06-05,Widget C,92,1.17
2021-05-12,Widget A,90,1.84
2021-05-04,Widget C,24,1.18
2020-10-19,Widget C,8,1.85
2021-04-05,Widget A,57,2.02
2020-05-25,Widget A,97,1.92
2022-10-09,Widget B,90,2.75
2021-06-26,Widget C,24,1.01
2022-04-18,Widget C,14,1.47
2022-03-21,Widget B,10,2.86
2021-11-29,Widget B,47,3.16
2021-07-28,Widget B,75,3.19
2021-02-15,Widget B,68,3.24
2020-03-04,Widget A,12,2.25
2021-12-21,Widget A,21,1.98
2021-04-26,Widget C,7,1.91
2021-06-06,Widget A,30,2.32
2021-06-29,Widget B,96,3.33
2020-11-06,Widget C,73,1.54
2021-09-01,Widget C,84,1.36
2022-05-27,Widget B,21,3.36
2021-11-11,Widget B,91,3.21
2020-10-16,Widget B,44,3.08
